"Title","Price","URL","Image"
"Chris Christensen Big G Slicker Brushes","50.99","https://www.cherrybrook.com/chris-christensen-big-g-slicker-brushes/","https://cdn11.bigcommerce.com/s-9usi8/product_images/attribute_rule_images/658358_source_1642447547.jpg?vid=variantid_81602"
"Chris Christensen Big K Slicker Brushes","50.99","https://www.cherrybrook.com/chris-christensen-big-k-slicker-brushes/","https://cdn11.bigcommerce.com/s-9usi8/product_images/attribute_rule_images/658362_source_1642447550.jpg?vid=variantid_81607"
"Crown Royale Magic Touch Formula 3","9.99","https://www.cherrybrook.com/crown-royale-magic-touch-formula-3/","https://cdn11.bigcommerce.com/s-9usi8/product_images/attribute_rule_images/623207_source_1679354017.jpg?vid=variantid_70312"
"Chris Christensen White on White Shampoo","5.00","https://www.cherrybrook.com/chris-christensen-white-on-white-shampoo/","https://cdn11.bigcommerce.com/s-9usi8/product_images/attribute_rule_images/622790_source_1563894658.jpg?vid=variantid_69898"
"Pet Society Hydra Ultra Detangle & Dematting Spray","22.00","https://www.cherrybrook.com/pet-society-hydra-ultra-detangle-dematting-spray/","https://cdn11.bigcommerce.com/s-9usi8/product_images/attribute_rule_images/686384_source_1654788870.jpg?vid=variantid_82798"
"Natures Specialties Plum Silky® Shampoo for Dogs","23.00","https://www.cherrybrook.com/natures-specialties-plum-silky-shampoo-for-dogs/","https://cdn11.bigcommerce.com/s-9usi8/product_images/attribute_rule_images/657761_source_1690301970.jpg?vid=variantid_80923"
"iGroom Deshedding + Detangling Shampoo","24.00","https://www.cherrybrook.com/igroom-deshedding-detangling-shampoo/","https://cdn11.bigcommerce.com/s-9usi8/product_images/attribute_rule_images/653205_source_1619618098.jpg?vid=variantid_78231"
"#1 All Systems Super Cleaning and Conditioning Shampoo","11.99","https://www.cherrybrook.com/1-all-systems-super-cleaning-and-conditioning-shampoo/","https://cdn11.bigcommerce.com/s-9usi8/product_images/attribute_rule_images/623498_source_1563913192.jpg?vid=variantid_70599"
"Chris Christensen Kärben Slickers","29.00","https://www.cherrybrook.com/chris-christensen-karben-slickers/","https://cdn11.bigcommerce.com/s-9usi8/product_images/attribute_rule_images/686662_source_1677850650.jpg?vid=variantid_83212"
"Heiniger Opal Li-Ion Battery Clipper","425.00","https://www.cherrybrook.com/heiniger-opal-li-ion-battery-clipper/","https://cdn11.bigcommerce.com/s-9usi8/products/15765/images/18846/09-H001-1__15550.1666637192.500.750.jpg?c=2"
"Chris Christensen 006 5"" Face and Feet Buttercomb","34.00","https://www.cherrybrook.com/chris-christensen-006-5-face-and-feet-buttercomb/","https://cdn11.bigcommerce.com/s-9usi8/products/12320/images/18319/14-092-6__46249.1645035289.500.750.jpg?c=2"
"Natures Specialties EZ Out® Deshedding Shampoo for Dogs & Cats","25.50","https://www.cherrybrook.com/natures-specialties-ez-out-deshedding-shampoo-for-dogs-cats/","https://cdn11.bigcommerce.com/s-9usi8/product_images/attribute_rule_images/657725_source_1635354165.jpg?vid=variantid_80874"
"iGroom Tearless Facial Shampoo","24.00","https://www.cherrybrook.com/igroom-tearless-facial-shampoo/","https://cdn11.bigcommerce.com/s-9usi8/product_images/attribute_rule_images/649130_source_1574177967.jpg?vid=variantid_74050"
"Chris Christensen Fusion Oval Pin Brushes","60.00","https://www.cherrybrook.com/chris-christensen-fusion-oval-pin-brushes/","https://cdn11.bigcommerce.com/s-9usi8/product_images/attribute_rule_images/624150_source_1563962599.jpg?vid=variantid_71239"
"Stainless Steel Dog Bowls","1.09","https://www.cherrybrook.com/stainless-steel-dog-bowls/","https://cdn11.bigcommerce.com/s-9usi8/product_images/attribute_rule_images/426997_source_1527271104.jpg?vid=variantid_56223"
