Url,Image,Title,Price
https://ferebe.com/collections/beauty/products/olaplex-hair-perfector-no-3-repairing-treatment-100ml,/ferebe.com/cdn/shop/products/450_2-506853_200x.webp?v=1668064376 ,Olaplex Hair Perfector No 3 Repairing Treatment 3.3oz/100ml,95
https://ferebe.com/collections/beauty/products/moroccanoil-color-complete-conditioner-8-5fl-oz-250ml,/ferebe.com/cdn/shop/products/33963381-312a-4f9c-b5b8-cf92cce6e6d8_1.cb2b7adc84589adad75730e8f39b993c_4c8cbeef-ddcd-425a-ba4e-a76e1486c994-903603_200x.jpg?v=1647384792 ,Moroccanoil Color Complete Conditioner 8.5fl.oz./250ml,$10.99 
https://ferebe.com/collections/beauty/products/dove-daily-moisture-hydratation-shampoo-conditioner-duo-with-pump-1-18lt,ferebe.com/cdn/shop/products/Untitleddesign_92-433315_200x.png?v=1651191323 ,Dove Daily Moisture Hydration Shampoo & Conditioner Duo With Pump 1.18L,$20.99 
https://ferebe.com/collections/beauty/products/living-proof-perfect-hair-day-shampoo-and-conditioner-combo-set-each-8-oz,ferebe.com/cdn/shop/products/2412545d-65c3-45b8-ad47-38e843d233d2_1.a26a96b06a81cac7a151791e6e47278d_200x.jpg?v=1597685677 ,Living Proof Perfect Hair Day Shampoo and Conditioner Combo Set Each 8 oz.,$29.99 
https://ferebe.com/collections/beauty/products/suavecito-pomade-firme-hold-4-oz,ferebe.com/cdn/shop/products/Suavecito_Pomade_Firme_Hold_32oz_Tub_Front_400x_058d4ecb-76ee-410c-bd6a-529e6acaf536-677423_200x.jpg?v=1647385341 ,"Suavecito Pomade Firme Strong Hold, 4 Oz",$6.99 
https://ferebe.com/collections/beauty/products/zenagen-evolve-unisex-treatment-32-fl-oz,ferebe.com/cdn/shop/products/0ad81aca-8b35-409c-aef1-af8abecf76ae_1.2a7a12820222b87bfd892b049d844ad2_200x.jpg?v=1627419757 ,Zenagen Evolve Shampoo Treatment Unisex With Pump 32oz,$99.99 
https://ferebe.com/collections/beauty/products/colorescience-sunforgettable-total-protection-brush-on-shield-spf-50-multipack,ferebe.com/cdn/shop/products/eldkxohe_201904051922494388_200x.jpg?v=1608824514 ,ColoreScience Sunforgettable Total Protection Brush-On Shield SPF 50 multipack 0.21 oz- 6 g Medium shade,$70.99 
https://ferebe.com/collections/beauty/products/lanza-healing-volume-root-effects-hair-styling-mousse-7-1oz-200ml,/ferebe.com/cdn/shop/products/Untitleddesign_27_c24e51f4-75c4-4a2c-a22d-18cb0c98ef76-174090_200x.png?v=1647384710 ,Lanza Healing Volume Root Effects Hair Styling Mousse 7.1oz/200ml,$9.99 
https://ferebe.com/collections/beauty/products/goldwell-style-sign-creative-texture-mellogoo,ferebe.com/cdn/shop/products/goldwell-stylesign-creative-texture-matte-rebel-75ml-665261_200x.jpg?v=1647384321 ,Goldwell Style Sign Creative Texture Mellogoo 100ml,$4.99 
https://ferebe.com/collections/beauty/products/lanza-healing-volume-final-effects-10-6oz-350ml,/ferebe.com/cdn/shop/products/f55195dc-32e2-4bcb-bfb1-a3d3d6e1aff1.0ade7a57fd533839936d6db19207ef81-403378_200x.jpg?v=1647384688 ,Lanza Healing Volume Final Effects 10.6oz/350ml,$9.99 
