Title,Price,Url,Image
Camp Shirt,$34.99 ,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/436744.html?dwvar_436744_color=5616&priceSort=DES,https://anninc.scene7.com/is/image/AN/436744_5616?$fullBplp$
Organza Bow Suede Pumps,$124.60,https://www.anntaylor.com/shoes/all-shoes/cata000020/827546.html?dwvar_827546_color=2222&priceSort=DES,https://anninc.scene7.com/is/image/AN/827546_2222
Crystal Flower Statement Drop Earrings,$68.60,https://www.anntaylor.com/accessories/jewelry/earrings/cat2600079/832691.html?dwvar_832691_color=018627&priceSort=DES,https://anninc.scene7.com/is/image/AN/832691_018627
Textured Mock Neck Button Cuff Top,$35.00,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/838012.html?dwvar_838012_color=4925&priceSort=DES,https://anninc.scene7.com/is/image/AN/838012_4925
The Wide Leg Pant in Crepe,$97.30,https://www.anntaylor.com/clothing/pants/cata000014/838794.html?priceSort=DES,https://anninc.scene7.com/is/image/AN/838794_2222?$fullBplp$
Mock Neck Flare Sweater Dress,$75.00 ,https://www.anntaylor.com/clothing/dresses/cata000012/827052.html?dwvar_827052_color=5616&priceSort=DES,https://anninc.scene7.com/is/image/AN/827052_5616
Pearlized Button Shimmer Mixed Media Top,$48.65,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/838840.html?dwvar_838840_color=6045&priceSort=DES,https://anninc.scene7.com/is/image/AN/838840_6045
High Rise Trouser Jeans in Classic Rinse Wash,$90.30,https://www.anntaylor.com/clothing/jeans/cata000018/838446.html?priceSort=DES,https://anninc.scene7.com/is/image/AN/838446_2608
Button Trim Top,$35.00,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/825140.html?dwvar_825140_color=8208&priceSort=DES,https://anninc.scene7.com/is/image/AN/825140_8208
Pearlized Button Ruffle Neck Shirt,$59.15,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/838530.html?dwvar_838530_color=8120&priceSort=DES,https://anninc.scene7.com/is/image/AN/838530_8120?$fullBplp$
The Wide Leg Pant in Crepe,$97.30,https://www.anntaylor.com/clothing/pants/cata000014/832234.html?priceSort=DES,https://anninc.scene7.com/is/image/AN/832234_9192?$fullBplp$
Geo Stitch Sweater Jacket,$104.30,https://www.anntaylor.com/clothing/sweaters/cata000011/831826.html?dwvar_831826_color=6892&priceSort=DES,https://anninc.scene7.com/is/image/AN/831826_6892?$fullBplp$
Embellished Chunky Chain Necklace,$68.60,https://www.anntaylor.com/accessories/jewelry/necklaces/cat2600076/834534.html?dwvar_834534_color=018627&priceSort=DES,https://anninc.scene7.com/is/image/AN/834534_018627?$fullBplp$
Tie Neck Cap Sleeve Top,$52.15,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/613724.html?dwvar_613724_color=9192&priceSort=DES,https://anninc.scene7.com/is/image/AN/613724_9192?$fullBplp$
Ruffle Trim Top,$34.65,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/825014.html?dwvar_825014_color=4925&priceSort=DES,https://anninc.scene7.com/is/image/AN/825014_4925?$fullBplp$
Embellished Relaxed Cable Sweater,$83.30,https://www.anntaylor.com/clothing/sweaters/cata000011/831951.html?dwvar_831951_color=3183&priceSort=DES,https://anninc.scene7.com/is/image/AN/831951_3183?$fullBplp$
Long Sleeve Crew Neck Top,$27.65,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/834072.html?dwvar_834072_color=6892&priceSort=DES,https://anninc.scene7.com/is/image/AN/834072_6892?$fullBplp$
