Title,Price,Url,Image
Curvy Sculpting Pocket Highest Rise Skinny Jeans in Classic Dark Indigo Wash,$45.42,https://www.anntaylor.com/clothing/jeans/cata000018/549422.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/608068_9000?$fullBplp$
Floral Mock Neck Angel Sleeve Popover,$34.99,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/831905.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/833934_500140
The Pintucked Easy Straight Ankle Pant in Crepe,$62.99,https://www.anntaylor.com/clothing/pants/cata000014/827036.html?dwvar_827036_color=4925&priceSort=ASC,https://anninc.scene7.com/is/image/AN/834089_9388?$fullBplp$
Jacquard Boatneck Bell Sleeve Sweater,$48.99,https://www.anntaylor.com/clothing/sweaters/cata000011/826931.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/834027_501383?$fullBplp$
The Lana Slim Pant - Curvy Fit,$48.99,https://www.anntaylor.com/clothing/pants/cata000014/572891.html?dwvar_572891_color=6901&priceSort=ASC,https://anninc.scene7.com/is/image/AN/899305_2222
Twill Moto Jacket,$34.99,https://www.anntaylor.com/clothing/jackets-and-blazers/cata000017/838767.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/825380_5833?$fullBplp$
Plaid Mac Coat,$49.00 ,https://www.anntaylor.com/clothing/coats/cat2820007/838779.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/607632_018551?$fullBplp$
Sculpting Pocket Highest Rise Skinny Jeans in Classic Mid Wash,$59.49 ,https://www.anntaylor.com/clothing/jeans/cata000018/591604.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/838705_1362?$fullBplp$
The Sophia Straight Pant,$34.99,https://www.anntaylor.com/clothing/pants/cata000014/592725.html?dwvar_592725_color=8020&priceSort=ASC,https://anninc.scene7.com/is/image/AN/831706_018553?$fullBplp$
Fitted Double Breasted Blazer,$41.99,https://www.anntaylor.com/clothing/jackets-and-blazers/cata000017/825199.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/832039_500082?$fullBplp$
ECHO x Ann Taylor Chain & Belt Print Silk Scarf,$31.42,https://www.anntaylor.com/accessories/scarves/cata000022/899303.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/549422_8559?$fullBplp$
Wool Blend Blanket Coat,$48.99,https://www.anntaylor.com/clothing/coats/cat2820007/838225.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/831905_500082?$fullBplp$
Leafed Ruffle Mixed Media Puff Sleeve Top,$59.49,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/827921.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/827036_4925
Geo Mock Neck Shell,$52.49,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/838101.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/826931_500444?$fullBplp$
The Kate Wide Leg Crop Pant,$49.00 ,https://www.anntaylor.com/clothing/pants/cata000014/827342.html?dwvar_827342_color=5824&priceSort=ASC,https://anninc.scene7.com/is/image/AN/572891_6901?$fullBplp$
Plaid Short Lightweight Knit Jacket,$118.99,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/832031.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/838767_2222
Half Placket Button Top,$62.99,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/838213.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/838672_504434?$fullBplp$
The Sophia Straight Pant - Curvy Fit,$143.49,https://www.anntaylor.com/clothing/pants/cata000014/597640.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/838779_501351?$fullBplp$
Drape Neck Dolman Top,$31.42,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/831759.html?dwvar_831759_color=2222&priceSort=ASC,https://anninc.scene7.com/is/image/AN/591604_2661?$fullBplp$
The Kate Wide Leg Crop Pant - Curvy Fit,$31.49,https://www.anntaylor.com/clothing/pants/cata000014/831875.html?dwvar_831875_color=5824&priceSort=ASC,https://anninc.scene7.com/is/image/AN/838710_9192?$fullBplp$
Floral Pintucked Ruffle Popover Shell,$41.99,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/826910.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/826910_500135?$fullBplp$
The Boardwalk Short,$34.92,https://www.anntaylor.com/sale/sale-shorts/cat1690064/581817.html?dwvar_581817_color=9000&priceSort=ASC,https://anninc.scene7.com/is/image/AN/581817_9000?$fullBplp$
Paneled Flare Dress,$75.52,https://www.anntaylor.com/clothing/dresses/cata000012/610464.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/610464_5136?$fullBplp$
The Lana Slim Pant,$27.92,https://www.anntaylor.com/clothing/pants/cata000014/603717.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/615925_3019?$fullBplp$
The Long Double Breasted Blazer in Herringbone Linen Blend,$38.42,https://www.anntaylor.com/clothing/suits/cata000013/608837.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/614867_6739?$fullBplp$
Mixed Media Shirred Tie Neck Top,$45.42,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/610528.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/603717_9192?$fullBplp$
The Pull On Palazzo Pant in Linen Blend,$108.42,https://www.anntaylor.com/clothing/pants/cata000014/613551.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/608837_7879?$fullBplp$
Striped Crossover Neck Wrap Dress,$24.42 ,https://www.anntaylor.com/clothing/dresses/cata000012/609022.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/616162_3019?$fullBplp$
Ruffle V-Neck Blouse,$31.49,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/614596.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/610528_5824?$fullBplp$
The Side Zip Wide Leg Crop Pant in Plaid,$62.92,https://www.anntaylor.com/clothing/pants/cata000014/616125.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/613551_9000?$fullBplp$
The Relaxed Double Breasted Long Blazer in Linen Blend,$62.92,https://www.anntaylor.com/clothing/jackets-and-blazers/cata000017/608982.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/609022_9000?$fullBplp$
The Tie Waist Pleated Short in Linen Blend,$31.42,https://www.anntaylor.com/613554.html?dwvar_613554_color=2570&priceSort=ASC,https://anninc.scene7.com/is/image/AN/616447_6418?$fullBplp$
The Kate Wide Leg Crop Pant - Curvy Fit,$31.49,https://www.anntaylor.com/clothing/pants/cata000014/610332.html?dwvar_610332_color=8187&priceSort=ASC,https://anninc.scene7.com/is/image/AN/608848_2222?$fullBplp$
Halter Sweater Shell,$41.99,https://www.anntaylor.com/clothing/sweaters/cata000011/614558.html?dwvar_614558_color=4485&priceSort=ASC,https://anninc.scene7.com/is/image/AN/614596_9192?$fullBplp$
Dotted Silky Cropped Open Cardigan,$31.49,https://www.anntaylor.com/clothing/sweaters/cata000011/614827.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/609445_2222?$fullBplp$
The Pull On Wide Leg Pant,$69.92,https://www.anntaylor.com/clothing/pants/cata000014/602405.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/616125_2222?$fullBplp$
The Side Zip Straight Pant in Linen Blend - Curvy Fit,$45.42 ,https://www.anntaylor.com/clothing/pants/cata000014/615480.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/616058_2222?$fullBplp$
Shirred Raglan Sleeve Blouse,$104.92,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/614598.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/608982_2570?$fullBplp$
The Audrey Crop Pant in Stretch Cotton,$34.92,https://www.anntaylor.com/clothing/pants/cata000014/602192.html?dwvar_602192_color=9000&priceSort=ASC,https://anninc.scene7.com/is/image/AN/613554_2570?$fullBplp$
Tropical Smocked Ruffle Flounce Sleeve Popover,$52.42 ,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/610892.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/610332_8187?$fullBplp$
Sleeveless Mock Neck Top,$34.92,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/609395.html?dwvar_609395_color=7879&priceSort=ASC,https://anninc.scene7.com/is/image/AN/614558_4485?$fullBplp$
The Side Zip Straight Pant in Linen Blend,$38.42,https://www.anntaylor.com/sale/all-sale/cata000055/614761.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/614827_4485?$fullBplp$
Autumnal Leaves Cascading Ruffle Shell,$31.42,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/838358.html?priceSort=ASC,https://anninc.scene7.com/is/image/AN/602405_2222?$fullBplp$
