Title,Price,Url,Image
SIG Sauer Spring Airsoft Kit,$44.99,https://www.pyramydair.com/product/sig-sauer-spring-airsoft-kit-mpx-rifle-p226-pistol?m=5114,https://www.pyramydair.com/images/thumbnails/PY-5114_SIG-Sauer-Spring-Airsoft_1684159387_d_400x300.jpg
Air Venturi Nomad III 4500 PSI Portable PCP Compressor,$799.99,https://www.pyramydair.com/product/air-venturi-nomad-iii-4500-psi-portable-pcp-compressor?a=10980,https://www.pyramydair.com/images/thumbnails/acc/PY-A-10980_Air-Venturi-Nomad-III_1665499278_d_400x300.jpg
JTS COMP1 Portable PCP Compressor,$499.99,https://www.pyramydair.com/product/jts-comp1-portable-pcp-compressor?a=12799,https://www.pyramydair.com/images/thumbnails/acc/PY-A-12799_JTS-COMP1-Portable-PCP_1681494323_d_400x300.jpg
Air Venturi EC-3000 EVO Compressor by Hill,"$1,499.99",https://www.pyramydair.com/product/air-venturi-ec-3000-evo-compressor-by-hill?a=13536,https://www.pyramydair.com/images/thumbnails/acc/PY-A-13536_Air-Venturi-EC3000-EVO_1692106763_d_400x300.jpg
SIG Sauer SIG1 MPX,$27.99,https://www.pyramydair.com/product/sig-sauer-sig1-mpx-spring-airsoft-rifle?m=5115,https://www.pyramydair.com/images/thumbnails/PY-5115_Sig-Sauer-SlG1-MPX_1675189932_d_400x300.jpg
SIG Sauer P365 Airsoft,$99.99,https://www.pyramydair.com/product/sig-sauer-p365-airsoft-pistol?m=5750,https://www.pyramydair.com/images/thumbnails/PY-5750_SIG-Sauer-P365-Airsoft_1676487480_d_400x300.jpg
SIG Sauer M18 Airsoft,$169.99,https://www.pyramydair.com/product/sig-sauer-m18-green-gas-airsoft-pistol?m=5751,https://www.pyramydair.com/images/thumbnails/PY-5751_SIG-Sauer-M18-Airsoft_1675889810_d_400x300.jpg
SIG Sauer P320 XCarry Green Gas,$169.99,https://www.pyramydair.com/product/sig-sauer-p320-xcarry-green-gas-airsoft-pistol?m=5836,https://www.pyramydair.com/images/thumbnails/PY-5836_Sig-Sauer-P320-XCarry_1686257898_d_400x300.jpg
SIG Sauer MCX Virtus AEG,$449.99,https://www.pyramydair.com/product/sig-sauer-mcx-virtus-airsoft-aeg-rifle?m=5116,https://www.pyramydair.com/images/thumbnails/PY-5116_Sig-Sauer-ProForce-MCX_1675187832_d_400x300.jpg
Tippmann Replacement Paintball Tank O-Ring 10PK,$9.95,https://www.pyramydair.com/product/tippmann-replacement-paintball-tank-o-ring-10pk?a=11841,https://www.pyramydair.com/images/thumbnails/acc/b00f5b4d3f0d484cb2db820cc5ed5ae1_d_400x300.jpg
"SIG Sauer M17 Airsoft Green Gas Magazine, 21 rds.",$29.99,https://www.pyramydair.com/product/sig-sauer-m17-airsoft-green-gas-magazine-21-rds?a=9142,https://www.pyramydair.com/images/thumbnails/acc/PY-A-9142_SIG-Sauer-M17-Green_1571253739_d_400x300.jpg
Tippmann Cronus Paintball Marker Combat Powerpack,$164.95,https://www.pyramydair.com/product/tippmann-cronus-paintball-marker-combat-powerpack?m=5646,https://www.pyramydair.com/images/thumbnails/a132d0dca923468d80e6820a216ab8c6_d_400x300.jpg
Springfield Armory M1 Carbine Airsoft,$199.99,https://www.pyramydair.com/product/springfield-armory-m1-carbine-co2-blowback-airsoft-rifle?m=4663,https://www.pyramydair.com/images/thumbnails/PY-4663_M1-Carbine-CO2-Blowback_1548883735_d_400x300.jpg
SIG Sauer M17 Green Gas Airsoft Pistol,$169.99,https://www.pyramydair.com/product/sig-sauer-m17-green-gas-airsoft-pistol?m=4962,https://www.pyramydair.com/images/thumbnails/PY-4962_SIG-Sauer-M17-Green_1580921345_d_400x300.jpg
Refurbished Air Venturi EC-3000 Compressor by Hill,$899.99,https://www.pyramydair.com/product/refurbished-air-venturi-ec-3000-compressor-by-hill?a=10837,https://www.pyramydair.com/images/thumbnails/acc/PY-A-10837_Refurbished-Air-Venturi-EC3000_1637164473_d_400x300.jpg
SIG Sauer Proforce P229 Green Gas Airsoft Pistol,$159.99,https://www.pyramydair.com/product/sig-sauer-proforce-p229-green-gas-airsoft-pistol?m=4963,https://www.pyramydair.com/images/thumbnails/PY-4963_SIG-Sauer-P229-Green_1580920944_d_400x300.jpg
Tippmann Paintball Protection Accessory PAK,$59.88,https://www.pyramydair.com/product/tippmann-paintball-protection-accessory-pak?a=11785,https://www.pyramydair.com/images/thumbnails/acc/499b77b26d8f402db3be4ceb94b81ab2_d_400x300.jpg
"Sig Sauer M17 Airsoft CO2 Magazine, 21 rds.",$29.99,https://www.pyramydair.com/product/sig-sauer-m17-airsoft-co2-magazine-21-rds?a=9141,https://www.pyramydair.com/images/thumbnails/acc/PY-A-9141_Sig-Sauer-M17-CO2_1570028911_d_400x300.jpg
Glock G18C Gen3 Airsoft,$199.99,https://www.pyramydair.com/product/glock-g18c-gen3-gbb-airsoft-pistol-w-extended-mag?m=5133,https://www.pyramydair.com/images/thumbnails/PY-5133_GLOCK-G18c-Gen3-GBB_1576522339_d_400x300.jpg
"SIG Sauer M18 Airsoft Green Gas Magazine, 21rd",$29.99,https://www.pyramydair.com/product/sig-sauer-m18-airsoft-green-gas-magazine-21rd?a=12944,https://www.pyramydair.com/images/thumbnails/acc/PY-A-12944_SIG-Sauer-M18-Airsoft_1676486297_d_400x300.jpg
Thompson M1928 Full-Metal Airsoft Submachine Gun,$239.99,https://www.pyramydair.com/product/thompson-m1928-full-metal-airsoft-submachine-gun?m=1866,https://www.pyramydair.com/images/thumbnails/PY-1866_Thompson-M1928-FullMetal-Airsoft_1485887691_d_400x300.jpg
Springfield Armory XDM Airsoft,$129.99,https://www.pyramydair.com/product/springfield-armory-xdm-4-5-gbb-airsoft-pistol-black?m=4680,https://www.pyramydair.com/images/thumbnails/PY-4680_Springfield-Armory-XDM-45_1575989091_d_400x300.jpg
"T4E HDS CO2 Paintball Shotgun, .68 Cal",$154.95,https://www.pyramydair.com/product/t4e-hds-co2-paintball-shotgun-68-cal?m=5142,https://www.pyramydair.com/images/thumbnails/PY-5142_T4E-HDS-Paintball-Marker_1578412211_d_400x300.jpg
"SIG Sauer P365 CO2 Airsoft Magazine, 12rd",$15.99,https://www.pyramydair.com/product/sig-sauer-p365-co2-airsoft-magazine-12rd?a=12943,https://www.pyramydair.com/images/thumbnails/acc/PY-A-12943_SIG-Sauer-AIR-MAGAZINE_1675884714_d_400x300.jpg
T4E - Training for Engagement Glock 17 T4E,$329.99,https://www.pyramydair.com/product/umarex-glock-17-gen5-t4e-paintball-pistol?m=5498,https://www.pyramydair.com/images/thumbnails/PY-5498_Umarex-GLOCK-17-Gen5_1634242155_d_400x300.jpg
"Colt 1911 CO2 Blowback Airsoft Pistol, Full Metal",$139.99,https://www.pyramydair.com/product/colt-1911-co2-blowback-airsoft-pistol-full-metal?m=2537,https://www.pyramydair.com/images/thumbnails/PY-2537_Colt-1911-CO2-Blowback_d_400x300.jpg
"Springfield Armory XDM 25 round Green Gas Airsoft Magazine, Fits 4.5"" & 3.8"" Pistols",$29.99,https://www.pyramydair.com/product/springfield-armory-xdm-25-round-green-gas-airsoft-magazine-fits-4-5-3?a=8671,https://www.pyramydair.com/images/thumbnails/acc/PY-A-8671_25shot-Mag-for-SA_1551977452_d_400x300.jpg
"Elite Force ""Fuel"" Green Gas, 8 oz., 12ct",$139.95,https://www.pyramydair.com/product/elite-force-fuel-green-gas-8-oz-12ct?a=7770,https://www.pyramydair.com/images/thumbnails/acc/PY-A-7770_Elite-Force-Fuel-Green_1487167372_d_400x300.jpg
T4E HK VP9 Paintball Marker .43 Cal : Umarex,$229.99,https://www.pyramydair.com/product/t4e-hk-vp9-paintball-marker-43-cal-umarex?m=5873,https://www.pyramydair.com/images/thumbnails/a69d04bf3ac04d43aa156959fa9929ad_d_400x300.jpg
"ASG CZ Shadow 2 CO2 GBB Airsoft Pistol, Black/Blue",$204.95,https://www.pyramydair.com/product/asg-cz-shadow-2-co2-gbb-airsoft-pistol-black-blue?m=5816,https://www.pyramydair.com/images/thumbnails/1b509325ef26409a894eef88a14cf562_d_400x300.jpg
ASG M40A3,$99.95,https://www.pyramydair.com/product/asg-m40a3-spring-airsoft-sniper-rifle-black?m=4499,https://www.pyramydair.com/images/thumbnails/PY-4499_ASG-M40A3-Spring-Airsoft_1509132945_d_400x300.jpg
"T4E Walther PPQ M2 CO2 Paintball Pistol Black, .43 cal",$189.95,https://www.pyramydair.com/product/t4e-walther-ppq-m2-co2-paintball-pistol-black-43-cal?m=5144,https://www.pyramydair.com/images/thumbnails/PY-5144_T4E-Walther-PPQ-M2_1578413058_d_400x300.jpg
Beretta M92 A1 Airsoft,$159.95,https://www.pyramydair.com/product/beretta-m92-a1-semi-full-auto-co2-airsoft-pistol-black?m=4521,https://www.pyramydair.com/images/thumbnails/PY-4521_Beretta-M92-A1-CO2_1510754616_d_400x300.jpg
Air Venturi Tracer Unit,$79.99,https://www.pyramydair.com/product/air-venturi-tracer-unit?a=12930,https://www.pyramydair.com/images/thumbnails/acc/PY-A-12930_Air-Venturi-Tracer-Unit_1688061526_d_400x300.png
"ASG Universal Fake Silencer, Aluminum, For Select ASG Pistols",$12.49,https://www.pyramydair.com/product/asg-universal-fake-silencer-aluminum-fits-select-asg-pistols-cz-steyr?a=5148,https://www.pyramydair.com/images/thumbnails/acc/PY-A-5148_ASG-Universal-Fake-Silencer_1472590282_d_400x300.jpg
Colt Government 1911 Airsoft GBB Pistol,$139.99,https://www.pyramydair.com/product/colt-government-1911-airsoft-gbb-pistol?m=3994,https://www.pyramydair.com/images/thumbnails/PY-3994_Colt-Government-1911-Airsoft_1459885027_d_400x300.jpg
Tippmann Cronus Paintball Marker Powerpack Kit,$149.95,https://www.pyramydair.com/product/tippmann-cronus-paintball-marker-powerpack-kit?m=5647,https://www.pyramydair.com/images/thumbnails/0889caf8c0ac442e8009e7627ce2429f_d_400x300.jpg
Glock G17 Gen 5 CO2 Blowback Airsoft Pistol,$144.99,https://www.pyramydair.com/product/glock-g17-gen-5-co2-blowback-airsoft-pistol?m=5740,https://www.pyramydair.com/images/thumbnails/c0d0ee38baa1415dbb2dae12adf1e921_d_400x300.jpg
"Colt 1911 CO2 Blowback Metal Airsoft Pistol, Canada Legal",$139.99,https://www.pyramydair.com/product/colt-1911-co2-blowback-metal-airsoft-pistol-canada-legal?m=4496,https://www.pyramydair.com/images/thumbnails/PY-4496_Colt-1911-100th-Anniversary_1508851455_d_400x300.jpg
FN Herstal SCAR-L AEG Tan,$69.99,https://www.pyramydair.com/product/fn-scar-l-aeg-airsoft-rifle-tan?m=5493,https://www.pyramydair.com/images/thumbnails/PY-5493_FN-SCARL-Full-Size_1676569512_d_400x300.jpg
Double Eagle M83 Electric Airsoft Rifle Heavy Weight AEG,$69.95,https://www.pyramydair.com/product/double-eagle-m83-electric-airsoft-rifle-heavy-weight-aeg?m=6056,https://www.pyramydair.com/images/thumbnails/df7488f718814284b1e546948477d12e_d_400x300.png
"Springfield Armory XDM 3.8"" Airsoft",$129.99,https://www.pyramydair.com/product/springfield-armory-xdm-3-8-gbb-airsoft-pistol-black?m=4678,https://www.pyramydair.com/images/thumbnails/PY-4678_Springfield-Armory-XDM-38_1575988921_d_400x300.jpg
Umarex GLOCK 17 Gen5 T4E Paintball Pistol Magazine,$59.99,https://www.pyramydair.com/product/umarex-glock-17-gen5-t4e-paintball-pistol-magazine?a=10760,https://www.pyramydair.com/images/thumbnails/acc/PY-A-10760_Umarex-GLOCK-17-Gen5_1634242259_d_400x300.jpg
T4E TR 68 Revolver,$119.99,https://www.pyramydair.com/product/t4e-tr-68-revolver?m=5883,https://www.pyramydair.com/images/thumbnails/ed96628982a24798abf99f57230d8c9a_d_400x300.jpg
"Umarex T4E TR50 Rotary .50 cal Magazine, 6 rds, 2pk",$9.95,https://www.pyramydair.com/product/umarex-t4e-tr50-rotary-50-cal-magazine-6-rds-2pk?a=9715,https://www.pyramydair.com/images/thumbnails/acc/PY-A-9715_Umarex-T4E-TR50_1600803197_d_400x300.jpg
"UTG Elite Tactical Leg Holster, Right Hand",$12.97,https://www.pyramydair.com/product/utg-elite-tactical-leg-holster-right-hand?a=730,https://www.pyramydair.com/images/thumbnails/acc/PY-A-730_UTG-Gen-Elite-Leg_LEPVC-H168ET_holster_lg_d_400x300.jpg
"Dan Wesson 6"" CO2 Airsoft Revolver, Grey",$92.99,https://www.pyramydair.com/product/dan-wesson-6-co2-airsoft-revolver-grey?m=2644,https://www.pyramydair.com/images/thumbnails/PY-2644_Dan-Wesson-6-CO2_1463754579_d_400x300.jpg
CosmoxToys AQUANAUT Galaxy Gel Pistol,$29.99,https://www.pyramydair.com/product/cosmoxtoys-aquanaut-galaxy-gel-pistol?m=5960,https://www.pyramydair.com/images/thumbnails/edc95809011040a1ba4268c2baf84f90_d_400x300.jpg
Cybergun Thompson 380 AEG Magazine,$22.99,https://www.pyramydair.com/product/cybergun-thompson-380-aeg-magazine?a=1929,https://www.pyramydair.com/images/thumbnails/acc/PY-A-1929_Cybergun-Thompson-380-AEG_1508875741_d_400x300.jpg
UTG Deluxe Commando Belt Holster,$9.97,https://www.pyramydair.com/product/utg-deluxe-commando-belt-holster?a=637,https://www.pyramydair.com/images/thumbnails/acc/PY-A-637_UTG-Deluxe-Commando-Belt_1473195138_d_400x300.jpg
Thompson M1A1 Full-Metal Body AEG,$209.99,https://www.pyramydair.com/product/thompson-m1a1-full-metal-body-aeg?m=1304,https://www.pyramydair.com/images/thumbnails/PY-1304_Thompson-M1A1-FullMetal-Body_d_400x300.jpg
Elite Force 9.6V 1600 mAh NiMh Nunchuck AEG Battery,$26.99,https://www.pyramydair.com/product/elite-force-9-6v-1600-mah-nimh-nunchuck-aeg-battery?a=5121,https://www.pyramydair.com/images/thumbnails/acc/Elite-Force-96V-NIMH-1600-Nun-Chuck-Battery_UX-2211008_lg_d_400x300.jpg
"Dan Wesson ASG 6mm Airsoft Revolver Shells, 25ct",$34.99,https://www.pyramydair.com/product/dan-wesson-asg-6mm-airsoft-revolver-shells-25ct?a=3993,https://www.pyramydair.com/images/thumbnails/acc/PY-A-3993_Dan-Wesson-ASG-6mm_1638284178_d_400x300.jpg
"Colt M4 RIS & 1911 Spring Airsoft Kit, Black/Tan",$39.99,https://www.pyramydair.com/product/colt-m4-ris-1911-spring-airsoft-kit-black-tan?m=4000,https://www.pyramydair.com/images/thumbnails/PY-4000_Colt-M4-RIS-_1458655378_d_400x300.jpg
"Springfield Armory XDE 4.5"" Airsoft",$79.99,https://www.pyramydair.com/product/springfield-armory-xde-4-5-6mm-airsoft-pistol?m=5312,https://www.pyramydair.com/images/thumbnails/PY-5312_Springfield-XDE-BB-Pistol_1639763583_d_400x300.jpg
Tenergy Universal Smart Charger for NiMH/NiCd Battery Packs (6V - 12V),$34.99,https://www.pyramydair.com/product/tenergy-universal-smart-charger-with-temperature-sensor-for-6v-12v?a=3599,https://www.pyramydair.com/images/thumbnails/acc/PY-A-3599_Tenergy-Universal-Smart-Charger_CG01025_charger_lg_d_400x300.jpg
Firepower F4-D Full-Automatic AEG Airsoft Rifle,$69.99,https://www.pyramydair.com/product/firepower-f4-d-full-automatic-aeg-airsoft-rifle?m=2898,https://www.pyramydair.com/images/thumbnails/PY-2898_Firepower-F4D-FullAutomatic-AEG_1463161608_d_400x300.jpg
Cybergun FN Herstal Licensed SCAR-L Airsoft AEG Rifle,$69.00,https://www.pyramydair.com/product/cybergun-fn-herstal-licensed-scar-l-airsoft-aeg-rifle?m=6067,https://www.pyramydair.com/images/thumbnails/4257be617a1d46efabeeef53a503cd65_d_400x300.jpg
T4E HK VP9 Quick Piercing Magazine .43 caliber,$64.99,https://www.pyramydair.com/product/t4e-hk-vp9-quick-piercing-magazine-43-caliber?a=15013,https://www.pyramydair.com/images/thumbnails/acc/4f87c8c0bec14fdaa103bcb3441d0a1f_d_400x300.jpg
Walther P99 Airsoft,$69.99,https://www.pyramydair.com/product/walther-p99-blowback-co2-airsoft-pistol?m=1836,https://www.pyramydair.com/images/thumbnails/PY-1836_Walther-P99-Blowback-CO2_1467310228_d_400x300.jpg
"Umarex Elite Force Airsoft BBs, .25g, 5,000 Rds",$17.99,https://www.pyramydair.com/product/umarex-elite-force-airsoft-bbs-25g-5-000-rds?p=990,https://www.pyramydair.com/images/thumbnails/PY-P-990_Umarex-Elite-Force-Airsoft_1505402561_d_400x300.jpg
"Glock G17 Gen 4 CO2 Airsoft Magazine, 17rd",$54.95,https://www.pyramydair.com/product/glock-g17-gen-4-co2-airsoft-magazine-17rd?a=8836,https://www.pyramydair.com/images/thumbnails/acc/PY-A-8836_Umarex-Glock-G17-Gen_1565708447_d_400x300.jpg
"JT 6ct 88G Prefilled CO2, Silver",$54.95,https://www.pyramydair.com/product/jt-6ct-88g-prefilled-co2-silver?a=12679,https://www.pyramydair.com/images/thumbnails/acc/07fb231ea7554fb38229bf26a685a765_d_400x300.jpg
Barra 11.1v 35C LiPo 2200mAh Battery,$29.99,https://www.pyramydair.com/product/barra-11-1v-35c-lipo-2200mah-battery?a=11091,https://www.pyramydair.com/images/thumbnails/acc/PY-A-11091_Barra-111v-35C-LiPo_1654885483_d_400x300.jpg
"Xball Inferno 1000ct Paintballs, Orange, .68, 1000 count",$24.99,https://www.pyramydair.com/product/xball-inferno-1000ct-paintballs-orange-68-1000-count?p=1971,https://www.pyramydair.com/images/thumbnails/18587be7087e4b078a4ab9a51dc0a6d6_d_400x300.jpg
"Springfield Armory XDE 4.5"" 6mm Airsoft Magazine",$24.99,https://www.pyramydair.com/product/springfield-armory-xde-4-5-6mm-airsoft-magazine?a=9867,https://www.pyramydair.com/images/thumbnails/acc/PY-A-9867__1673273676_d_400x300.jpeg
