Title,Url,Image,Price
UGG Kids Tasman Chestnut,https://tiptopshoes.com/collections/girls/products/ugg-kids-tasman-chestnut,https://cdn.shopify.com/s/files/1/1974/6675/products/ugg-kids-tasman-chestnut-401974401013-577357_600x600.jpg?v=1635256022,$50.00
UGG Girl's Classic Ultra Mini Chestnut,https://tiptopshoes.com/collections/girls/products/ugg-girls-classic-ultra-mini-chestnut,https://cdn.shopify.com/s/files/1/1974/6675/products/ugg-girls-classic-ultra-mini-chestnut-1066386-798507_600x600.jpg?v=1659394607,$80.00
UGG Girl's Cozy II Chestnut,https://tiptopshoes.com/collections/girls/products/ugg-girls-cozy-ii-chestnut,https://cdn.shopify.com/s/files/1/1974/6675/products/ugg-girls-cozy-ii-chestnut-1052168-408688_600x600.jpg?v=1636744162,$30.00
UGG Kid's Tazz Chestnut,https://tiptopshoes.com/collections/girls/products/ugg-kids-tazz-chestnut,https://cdn.shopify.com/s/files/1/1974/6675/products/ugg-kids-tazz-chestnut-1071311-tip-top-shoes-of-new-york-519151_600x600.jpg?v=1673550406,$89.95
Primigi Girl's (31-35) Black/Gold Star Gore-Tex Waterproof,https://tiptopshoes.com/collections/girls/products/primigi-girls-31-35-black-gold-star-gore-tex-waterproof,https://cdn.shopify.com/s/files/1/1974/6675/products/primigi-girls-31-35-blackgold-star-gore-tex-waterproof-1078201-tip-top-shoes-of-new-york-837871_600x600.jpg?v=1693291450,$119.95
Primigi Girl's (Sizes 32-35) Black Suede/Fur Gore-Tex Waterproof,https://tiptopshoes.com/collections/girls/products/primigi-girls-sizes-32-35-black-suede-fur-gore-tex-waterproof,https://cdn.shopify.com/s/files/1/1974/6675/products/primigi-girls-sizes-32-35-black-suedefur-gore-tex-waterproof-1078048-tip-top-shoes-of-new-york-192236_600x600.jpg?v=1693291452,$125.00
UGG Girl's Bailey Bow 2 Berry,https://tiptopshoes.com/collections/girls/products/ugg-girls-bailey-bow-2-berry,https://cdn.shopify.com/s/files/1/1974/6675/products/ugg-girls-bailey-bow-2-berry-1077406-tip-top-shoes-of-new-york-577843_600x600.jpg?v=1695806243,$90.00
UGG Girl's Classic Mini Platform Chestnut,https://tiptopshoes.com/collections/girls/products/ugg-girls-classic-mini-platform-chestnut,https://cdn.shopify.com/s/files/1/1974/6675/products/ugg-girls-classic-mini-platform-chestnut-1075989-tip-top-shoes-of-new-york-550388_600x600.jpg?v=1695806241,$99.00
UGG Girl's Classic Mini Chestnut,https://tiptopshoes.com/collections/girls/products/ugg-girls-classic-mini-chestnut,https://cdn.shopify.com/s/files/1/1974/6675/products/ugg-girls-classic-mini-chestnut-1075979-tip-top-shoes-of-new-york-389675_600x600.jpg?v=1695806241,$125.00
Birkenstock Girl's Arizona Gold EVA,https://tiptopshoes.com/collections/girls/products/birkenstock-girls-arizona-gold-eva,https://cdn.shopify.com/s/files/1/1974/6675/products/birkenstock-girls-arizona-gold-eva-1071450-tip-top-shoes-of-new-york-589103_600x600.jpg?v=1677684829,$34.95
