Title,Price,Url,Image
Sheer Sleeve Popover,$59.15,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/827445.html?dwvar_827445_color=0612&priceSort=DES,https://anninc.scene7.com/is/image/AN/827445_0612?$fullBplp$
Geo Puff Sleeve Sheath Dress,$118.30,https://www.anntaylor.com/clothing/dresses/cata000012/827747.html?dwvar_827747_color=502308&priceSort=DES,https://anninc.scene7.com/is/image/AN/827747_502308_MKTG1?$fullbplp$
Ribbed Turtleneck Puff Sleeve Sweater,$68.60,https://www.anntaylor.com/clothing/sweaters/cata000011/838495.html?dwvar_838495_color=6892&priceSort=DES,https://anninc.scene7.com/is/image/AN/838495_6892
The High Rise Side Zip Flare Trouser in Fluid Crepe,$90.30,https://www.anntaylor.com/clothing/suits/cata000013/832218.html?dwvar_832218_color=6892&priceSort=DES,https://anninc.scene7.com/is/image/AN/832218_6892_MKTG1?$fullbplp$
Belted Turtleneck Sweater Dress,$111.30,https://www.anntaylor.com/clothing/dresses/cata000012/838810.html?dwvar_838810_color=8636&priceSort=DES,https://anninc.scene7.com/is/image/AN/838810_8636
Geo Tie Neck Top,$66.15,https://www.anntaylor.com/clothing/tops-and-blouses/cata000010/827352.html?dwvar_827352_color=502308&priceSort=DES,https://anninc.scene7.com/is/image/AN/827352_502308_MKTG1?$fullbplp$
Colorblock Sweater,$68.60,https://www.anntaylor.com/clothing/sweaters/cata000011/834360.html?dwvar_834360_color=018573&priceSort=DES,https://anninc.scene7.com/is/image/AN/834360_018573
The Belted Boot Pant,$97.30,https://www.anntaylor.com/clothing/pants/cata000014/834134.html?dwvar_834134_color=9192&priceSort=DES,https://anninc.scene7.com/is/image/AN/834134_9192
The Long Cardigan Jacket in Houndstooth Tweed,$132.30,https://www.anntaylor.com/clothing/jackets-and-blazers/cata000017/827380.html?dwvar_827380_color=5633&priceSort=DES,https://anninc.scene7.com/is/image/AN/827380_5633_MKTG1?$fullbplp$
Houndstooth Fringe Tweed Pocket Skirt,$83.30,https://www.anntaylor.com/clothing/skirts-/cata000016/838493.html?dwvar_838493_color=5633&priceSort=DES,https://anninc.scene7.com/is/image/AN/838493_5633?$fullBplp$
Rhinestone Embellished Cardigan,$76.30,https://www.anntaylor.com/clothing/sweaters/cata000011/827692.html?dwvar_827692_color=4925&priceSort=DES,https://anninc.scene7.com/is/image/AN/827692_4925_MKTG1?$fullbplp$
The High Rise Eva Ankle Pant in Faux Leather,$83.30,https://www.anntaylor.com/clothing/pants/cata000014/827594.html?dwvar_827594_color=4974&priceSort=DES,https://anninc.scene7.com/is/image/AN/827594_4974_MKTG1?$fullbplp$
Fair Isle Wedge Sweater,$76.30,https://www.anntaylor.com/clothing/sweaters/cata000011/827319.html?dwvar_827319_color=503839&priceSort=DES,https://anninc.scene7.com/is/image/AN/827319_503839
The Sophia Straight Pant in Houndstooth,$83.30,https://www.anntaylor.com/clothing/pants/cata000014/838592.html?dwvar_838592_color=502350&priceSort=DES,https://anninc.scene7.com/is/image/AN/838592_502350
Off The Shoulder Sweater,$62.65,https://www.anntaylor.com/work/work-sweaters/cat3920006/827353.html?dwvar_827353_color=2222&priceSort=DES,https://anninc.scene7.com/is/image/AN/827353_2222?$fullBplp$
Flocked Dot Tulle Midi Skirt,$104.30,https://www.anntaylor.com/clothing/skirts-/cata000016/832063.html?dwvar_832063_color=2222&priceSort=DES,https://anninc.scene7.com/is/image/AN/832063_2222_MKTG1?$fullbplp$
Dotted Mock Neck Flounce Dress,$75.00,https://www.anntaylor.com/clothing/dresses/cata000012/833703.html?dwvar_833703_color=2222&priceSort=DES,https://anninc.scene7.com/is/image/AN/833703_2222?$fullBplp$
